data,tags
“We will go as far as Meryton with you%2c” said Catherine and Lydia.Elizabeth accepted their company%2c and the three young ladies set offtogether.,Pride and Prejudice by Jane Austen
"‘Have some wine,’ the March Hare said in an encouraging tone.",Alice's Adventures in Wonderland by Lewis Carroll
The foreman thought for an instant.,Ulysses by James Joyce
“I wish it may.”,Pride and Prejudice by Jane Austen
"Not eight, Harry, please.  Half-past six.  We must be there before thecurtain rises.  You must see her in the first act, where she meetsRomeo.",The Picture of Dorian Gray by Oscar Wilde
“You are mistaken. I write rather slowly.”,Pride and Prejudice by Jane Austen
"It's no use, sighed Adrian Singleton.  ""I don't care to go back.What does it matter?  I am quite happy here.""",The Picture of Dorian Gray by Oscar Wilde
"‘Suppose we change the subject,’ the March Hare interrupted, yawning.‘I’m getting tired of this. I vote the young lady tells us a story.’",Alice's Adventures in Wonderland by Lewis Carroll
"There will be no difficulty, sir, said the genial frame-maker,beginning, with the aid of his assistant, to unhook the picture fromthe long brass chains by which it was suspended.  ""And, now, whereshall we carry it to, Mr. Gray?""",The Picture of Dorian Gray by Oscar Wilde
“Certainly%2c my dear%2c nobody said there were; but as to not meetingwith many people in this neighbourhood%2c I believe there are fewneighbourhoods larger. I know we dine with four-and-twenty families.”,Pride and Prejudice by Jane Austen
"Yet he was not really reckless, at any rate in his relations tosociety.  Once or twice every month during the winter, and on eachWednesday evening while the season lasted, he would throw open to theworld his beautiful house and have the most celebrated musicians of theday to charm his guests with the wonders of their art.  His littledinners, in the settling of which Lord Henry always assisted him, werenoted as much for the careful selection and placing of those invited,as for the exquisite taste shown in the decoration of the table, withits subtle symphonic arrangements of exotic flowers, and embroideredcloths, and antique plate of gold and silver.  Indeed, there were many,especially among the very young men, who saw, or fancied that they saw,in Dorian Gray the true realization of a type of which they had oftendreamed in Eton or Oxford days, a type that was to combine something ofthe real culture of the scholar with all the grace and distinction andperfect manner of a citizen of the world.  To them he seemed to be ofthe company of those whom Dante describes as having sought to ""makethemselves perfect by the worship of beauty.""  Like Gautier, he was onefor whom ""the visible world existed.""",The Picture of Dorian Gray by Oscar Wilde
I shall be charmed.  But won't you miss your train? said Dorian Graylanguidly as he passed up the steps and opened the door with hislatch-key.,The Picture of Dorian Gray by Oscar Wilde
"with the brief dialogue that follows, were spoken in a thoroughlyartificial manner.  The voice was exquisite, but from the point of viewof tone it was absolutely false.  It was wrong in colour.  It took awayall the life from the verse.  It made the passion unreal.",The Picture of Dorian Gray by Oscar Wilde
"—It’s as uncertain as a child’s bottom, he said.",Ulysses by James Joyce
"And she went on planning to herself how she would manage it. ‘They mustgo by the carrier,’ she thought; ‘and how funny it’ll seem, sendingpresents to one’s own feet! And how odd the directions will look!",Alice's Adventures in Wonderland by Lewis Carroll
"   ‘You are old,’ said the youth, ‘and your jaws are too weak    For anything tougher than suet;   Yet you finished the goose, with the bones and the beak--    Pray how did you manage to do it?’",Alice's Adventures in Wonderland by Lewis Carroll
"She started to her feet.  ""There he is!"" she cried.",The Picture of Dorian Gray by Oscar Wilde
"‘They were obliged to have him with them,’ the Mock Turtle said: ‘nowise fish would go anywhere without a porpoise.’",Alice's Adventures in Wonderland by Lewis Carroll
