data,tags
winsta ,normal
ntdll kernel32 KernelBase msvcrt ole32 gdi32 user32 lpk usp10 rpcrt4 imm32 msctf cryptbase clbcatq advapi32 sechost oleaut32 cryptsp rsaenh RpcRtRemote uxtheme netshell shell32 shlwapi nsi winnsi nlaapi ,normal
aeevts ,normal
ntdll kernel32 KernelBase msvcrt ole32 gdi32 user32 lpk usp10 rpcrt4 imm32 msctf cryptbase clbcatq advapi32 sechost oleaut32 cryptsp rsaenh RpcRtRemote uxtheme comctl32 propsys thumbcache shell32 shlwapi psapi ,normal
EppManifest sendmail mydocs wpdshext ,normal
ntdll kernel32 KernelBase msvcrt combase ucrtbase rpcrt4 bcryptprimitives gdi32 gdi32full win32u user32 imm32 oleaut32 msvcp_win propsys sechost SHCore shell32 cfgmgr32 windows.storage powrprof advapi32 shlwapi kernel.appcore profapi uxtheme ConhostV2 msctf dwmapi comctl32 clbcatq ole32 iertutil oleacc version ntmarta crypt32 ncrypt msasn1 ntasn1 bcrypt policymanager msvcp110_win dui70 imecfm wer ,normal
ntdll kernel32 KernelBase ucrtbase combase rpcrt4 bcryptprimitives kernel.appcore msvcrt clbcatq user32 win32u gdi32 gdi32full sechost IDStore bcrypt userenv profapi ,normal
msftedit PlayToDevice MMDevAPI wpdshext EhStorAPI wtsapi32 PortableDeviceApi ,normal
ntdll kernel32 KernelBase apphelp advapi32 msvcrt sechost rpcrt4 crypt32 ucrtbase msasn1 shlwapi combase ws2_32 bcryptprimitives gdi32 gdi32full user32 win32u cryptdll shell32 cfgmgr32 secur32 samlib windows.storage powrprof kernel.appcore SHCore ntdsapi profapi cryptsp cryptbase sspicli imm32 rsaenh bcrypt ncrypt ntasn1 vaultcli WinTypes wlanapi ,mimikatz
ntdll kernel32 KernelBase ucrtbase combase rpcrt4 bcryptprimitives kernel.appcore msvcrt clbcatq user32 win32u gdi32 gdi32full imm32 sechost uxtheme IDStore bcrypt userenv profapi ,normal
ntdll kernel32 KernelBase advapi32 msvcrt sechost rpcrt4 user32 win32u gdi32 gdi32full combase ucrtbase msvcp110_win bcryptprimitives shell32 cfgmgr32 windows.storage powrprof shlwapi kernel.appcore SHCore profapi ole32 imm32 uxtheme msctf oleaut32 msvcp_win dwmapi ,normal
shacctprofile CredentialMigrationHandler aepic ,normal
EppManifest sendmail mydocs wpdshext OnDemandConnRouteHelper ,normal
ntdll kernel32 KernelBase ucrtbase combase rpcrt4 bcryptprimitives kernel.appcore msvcrt clbcatq user32 win32u gdi32 gdi32full imm32 sechost uxtheme bcrypt userenv profapi IDStore ,normal
normaliz winhttp OnDemandConnRouteHelper dhcpcsvc6 dhcpcsvc wininet mswsock dnsapi winnsi webio rasadhlp schannel mskeyprotect ncryptsslp ,normal
OnDemandConnRouteHelper configurationclient ,normal
ntdll kernel32 KernelBase msvcrt ConhostV2 combase ucrtbase rpcrt4 bcryptprimitives gdi32 gdi32full user32 win32u imm32 oleaut32 msvcp_win propsys sechost SHCore shell32 cfgmgr32 windows.storage powrprof advapi32 shlwapi kernel.appcore profapi uxtheme msctf dwmapi comctl32 clbcatq ole32 oleacc iertutil version ntmarta crypt32 ncrypt msasn1 bcrypt ntasn1 policymanager msvcp110_win dui70 imecfm wer ,normal
ntdll kernel32 KernelBase gdi32 gdi32full user32 win32u msvcrt combase ucrtbase rpcrt4 bcryptprimitives crypt32 sspicli msasn1 sechost userenv wmsgapi amsi comctl32 profapi msimg32 MsCtfMonitor winsta msctf wtsapi32 oleaut32 msvcp_win imm32 msutb shell32 cfgmgr32 windows.storage powrprof advapi32 shlwapi kernel.appcore SHCore uxtheme wintrust clbcatq cryptsp rsaenh bcrypt cryptbase amsiproxy imagehlp gpapi urlmon iertutil ole32 dwmapi kbd101 kbd106 kbdnec kbd106 InputSwitch BCP47Langs dui70 duser xmllite DWrite WindowsCodecs credui MMDevAPI propsys devobj wincredui UIAnimation Windows.UI.CredDialogController AudioSes d3d11 dxgi Windows.UI.XamlHost d3d10warp ResourcePolicyClient Windows.UI.Cred wincorlib dcomp avrt MrmCoreR Windows.UI WinTypes Windows.UI.Xaml CoreMessaging Windows.UI.Immersive twinapi.appcore igd10iumd64 ncrypt ntasn1 igc64 d2d1 Windows.Globalization Windows.Globalization.Fontgroups fontgroupsoverride FontGlyphAnimator Windows.Internal.UI.Logon.ProxyStub directmanipulation version oleacc ntmarta policymanager msvcp110_win imecfm wer ninput UIAutomationCore ,normal
msftedit wpdshext ,normal
ntdll kernel32 KernelBase advapi32 msvcrt sechost rpcrt4 user32 win32u gdi32 gdi32full combase ucrtbase msvcp110_win bcryptprimitives shell32 cfgmgr32 windows.storage powrprof shlwapi kernel.appcore SHCore profapi ole32 imm32 uxtheme msctf oleaut32 msvcp_win dwmapi ,normal
ntdll kernel32 KernelBase ucrtbase combase rpcrt4 bcryptprimitives kernel.appcore msvcrt clbcatq user32 win32u gdi32 gdi32full sechost IDStore bcrypt userenv profapi ,normal
aepic FlightSettings bcd OneCoreCommonProxyStub ,normal
ntdll kernel32 KernelBase apphelp advapi32 msvcrt sechost rpcrt4 crypt32 ucrtbase msasn1 shlwapi netapi32 cryptdll combase ntdsapi bcryptprimitives ws2_32 gdi32 gdi32full user32 win32u shell32 secur32 cfgmgr32 windows.storage powrprof kernel.appcore SHCore profapi setupapi hid cryptsp cryptbase logoncli netutils sspicli imm32 samlib rsaenh bcrypt ncrypt ntasn1 vaultcli WinTypes devobj wintrust ,mimikatz
ntdll kernel32 KernelBase ucrtbase combase rpcrt4 bcryptprimitives kernel.appcore msvcrt clbcatq user32 win32u gdi32 gdi32full sechost IDStore bcrypt userenv profapi ,normal
ntdll kernel32 KernelBase gdi32 gdi32full user32 win32u msvcrt combase ucrtbase rpcrt4 bcryptprimitives crypt32 sspicli msasn1 sechost wmsgapi amsi comctl32 userenv MsCtfMonitor profapi msimg32 winsta oleaut32 msvcp_win imm32 msutb wtsapi32 shell32 cfgmgr32 windows.storage powrprof advapi32 shlwapi kernel.appcore SHCore uxtheme wintrust clbcatq cryptsp rsaenh bcrypt msctf amsiproxy cryptbase imagehlp gpapi urlmon iertutil ole32 dwmapi kbd101 kbd106 kbdnec kbd106 InputSwitch BCP47Langs dui70 duser xmllite DWrite WindowsCodecs credui AudioSes MMDevAPI WinTypes propsys devobj wincredui UIAnimation Windows.UI.CredDialogController d3d11 dxgi Windows.UI.XamlHost avrt d3d10warp ResourcePolicyClient Windows.UI.Cred wincorlib dcomp MrmCoreR Windows.UI Windows.UI.Xaml CoreMessaging Windows.UI.Immersive twinapi.appcore igd10iumd64 ncrypt ntasn1 igc64 d2d1 Windows.Globalization Windows.Globalization.Fontgroups fontgroupsoverride FontGlyphAnimator Windows.Internal.UI.Logon.ProxyStub directmanipulation version oleacc ntmarta policymanager msvcp110_win imecfm wer ninput UIAutomationCore ,normal
EppManifest sendmail mydocs wpdshext ,normal
ntdll kernel32 KernelBase advapi32 msvcrt sechost rpcrt4 user32 win32u gdi32 gdi32full combase ucrtbase msvcp110_win bcryptprimitives shell32 cfgmgr32 windows.storage powrprof shlwapi kernel.appcore SHCore profapi ole32 imm32 uxtheme msctf oleaut32 msvcp_win dwmapi ,normal
linkinfo Windows.Globalization BCP47Langs globinputhost ExplorerFrame thumbcache msftedit coml2 tiptsf OneCoreCommonProxyStub Windows.Storage.Search SearchFolder samcli samlib StructuredQuery mssvp mapi32 ntlanman drprov winsta mssprxy actxprxy davclnt davhlpr PlayToDevice ntshrui cscapi networkexplorer dlnashext DevDispItemProvider devobj setupapi cscui wpdshext twinapi EhStorAPI wtsapi32 winmm winmmbase winmmbase winmmbase vcruntime140 msvcp140 msi GrooveIntlResource MMDevAPI EhStorShell PortableDeviceApi ,normal
ntdll kernel32 KernelBase apphelp advapi32 msvcrt sechost rpcrt4 crypt32 ucrtbase msasn1 ole32 netapi32 cryptdll combase bcryptprimitives gdi32 gdi32full user32 win32u oleaut32 msvcp_win shlwapi shell32 samlib secur32 cfgmgr32 windows.storage powrprof kernel.appcore SHCore profapi userenv version hid setupapi WinSCard Wldap32 winsta devobj cryptsp cryptbase logoncli srvcli bcrypt sspicli netutils imm32 wkscli rsaenh vaultcli WinTypes wintrust ,mimikatz
ntdll kernel32 KernelBase ucrtbase combase rpcrt4 bcryptprimitives kernel.appcore msvcrt clbcatq user32 win32u gdi32 gdi32full imm32 sechost uxtheme IDStore bcrypt userenv profapi ,normal
ntdll kernel32 KernelBase msvcrt ConhostV2 combase ucrtbase rpcrt4 bcryptprimitives gdi32 gdi32full user32 win32u imm32 oleaut32 msvcp_win propsys sechost SHCore shell32 cfgmgr32 windows.storage powrprof advapi32 shlwapi kernel.appcore profapi uxtheme msctf dwmapi comctl32 clbcatq ole32 iertutil version oleacc ntmarta crypt32 ncrypt msasn1 bcrypt ntasn1 policymanager msvcp110_win dui70 imecfm wer ,normal
aepic ,normal
ntdll kernel32 KernelBase msvcrt ConhostV2 msvcp_win ucrtbase combase rpcrt4 bcryptprimitives gdi32 gdi32full user32 win32u oleaut32 advapi32 sechost imm32 propsys SHCore shell32 cfgmgr32 windows.storage shlwapi kernel.appcore powrprof profapi uxtheme msctf dwmapi comctl32 TextInputFramework CoreUIComponents CoreMessaging ntmarta WinTypes usermgrcli clbcatq ole32 version iertutil oleacc crypt32 msasn1 ncrypt bcrypt ntasn1 policymanager msvcp110_win dui70 imecfm wer ,normal
ntdll kernel32 KernelBase advapi32 msvcrt sechost rpcrt4 user32 win32u gdi32 gdi32full msvcp_win ucrtbase shell32 cfgmgr32 SHCore combase bcryptprimitives windows.storage shlwapi kernel.appcore powrprof profapi uxtheme imm32 ,normal
ntdll kernel32 KernelBase ucrtbase combase rpcrt4 bcryptprimitives kernel.appcore msvcrt clbcatq user32 win32u gdi32 gdi32full msvcp_win imm32 sechost uxtheme IDStore bcrypt userenv profapi ,normal
msftedit wpdshext audiodev mfperfhelper ,normal
ntdll kernel32 KernelBase advapi32 msvcrt sechost rpcrt4 user32 win32u gdi32 gdi32full msvcp_win ucrtbase combase bcryptprimitives shell32 cfgmgr32 SHCore windows.storage shlwapi kernel.appcore powrprof profapi ole32 msvcp110_win imm32 uxtheme msctf oleaut32 dwmapi ,normal
npmproxy ,normal
ntdll kernel32 KernelBase apphelp advapi32 msvcrt sechost rpcrt4 crypt32 ucrtbase msasn1 shlwapi combase bcryptprimitives gdi32 gdi32full msvcp_win user32 win32u shell32 cfgmgr32 SHCore windows.storage kernel.appcore powrprof profapi cryptdll samlib secur32 cryptsp cryptbase sspicli imm32 rsaenh bcrypt ncrypt ntasn1 wlanapi vaultcli WinTypes ,mimikatz
ntdll kernel32 KernelBase ucrtbase combase rpcrt4 bcryptprimitives kernel.appcore msvcrt clbcatq user32 win32u gdi32 gdi32full msvcp_win sechost IDStore bcrypt userenv profapi ,normal
